valor;Votos;Resultado
9306.21;697;0
19441.94;686;0
4536.45;685;0
11013.99;682;0
15279.79;682;0
1954.56;680;0
8424.84;679;0
3240.32;674;0
2652.52;674;0
4343.33;671;0
37471.1;669;0
24252.32;667;0
33765.21;665;0
;662;0
21293.92;652;0
67984.71;647;0
;645;0
7353.46;642;0
15643.79;641;0
14944.83;637;0
;635;0
35893.49;634;0
12230.95;633;0
13985.24;630;0
30128.76;626;0
12000.86;624;0
12987.22;623;0
6548.05;617;0
6173.78;616;0
11444.82;616;0
30300.77;615;0
28022.62;612;0
11084.54;610;0
5824.81;600;0
12034.78;598;0
8122.84;592;0
19537.88;592;0
15880.96;590;0
;587;0
;585;0
18237;585;0
5214.98;581;0
9669.13;581;0
29519.01;576;0
103665.55;573;0
9862.92;571;0
;566;0
5742.63;562;0
9730.04;556;0
3240.32;555;0
4656.99;543;0
17085.24;537;0
;536;0
14099.94;534;0
5003.93;534;0
3840.34;533;0
17627.36;532;0
11001.62;530;0
5854.62;530;0
8619.26;529;0
48403.66;528;0
;528;0
82071.27;521;0
8896.31;521;0
8584.82;520;0
10168.01;519;0
18169.66;515;0
5117.12;513;0
5645.69;512;0
18943.71;512;0
16710.14;509;0
13018.32;507;0
13481.43;507;0
15943.73;501;0
9260.72;500;0
4943.11;500;0
15408.21;498;0
9481.96;497;0
;493;0
9617.53;492;0
7578.87;490;0
15347.64;490;0
5898.5;486;0
14417.79;483;0
8558.94;481;0
4214.24;479;0
11630.22;479;0
;478;0
19402.95;475;0
51902.02;475;0
10690.48;469;0
2540.41;468;0
26613.49;465;0
7354.34;464;0
4673.19;461;0
;461;0
17415.33;457;0
51665.73;457;0
3540.05;457;0
4845.33;456;0
7316.44;454;0
19173.38;451;0
3747.86;450;0
3758.45;448;0
12502.92;444;0
12310.64;441;0
8888.49;439;0
15306.98;435;0
11772.38;434;0
;433;0
13723.55;433;0
19552.81;431;0
107027.44;431;0
30087.38;429;0
29440.61;428;0
8731.86;423;0
15350.88;421;0
8698.25;420;0
23148.87;418;0
18516.6;415;0
;411;0
3240.32;410;0
8204.5;410;0
;409;0
17662.71;409;0
;408;0
7365.61;406;0
6387.46;404;0
5365.85;403;0
82922.21;403;0
2632.89;402;0
3966.16;401;0
5047.13;401;0
;397;0
6307.8;396;0
;395;0
4099.66;392;0
;391;0
11017.1;390;0
87290.15;389;0
1969.92;386;0
27238.82;386;0
27914.74;386;0
1291.15;386;0
10491.4;385;0
2462.28;382;0
3129.96;382;0
15416.1;380;0
3732.85;377;0
16899.91;376;0
4196.87;375;0
12485.27;373;0
;372;0
34995.5;372;0
3801.78;372;0
6632.09;372;0
3858.81;371;0
10185.5;370;0
;370;0
27113.93;365;0
15408.91;363;0
14269.83;361;0
8126.93;357;0
2314.89;356;0
3354.98;356;0
8889.37;356;0
30138.28;356;0
6595.08;356;0
7165.46;355;0
11661.32;355;0
13401.02;354;0
;353;0
5942.56;350;0
3939.9;345;0
7076.87;344;0
;343;0
10758.57;341;0
10475.6;340;0
7063.91;340;0
16471.54;340;0
3888.39;340;0
8050.58;339;0
7263.51;339;0
5168.96;339;0
6350.71;339;0
2800.64;338;0
17432.58;336;0
4977.14;336;0
3724.69;335;0
1296.13;334;0
18754.61;334;0
6024.86;334;0
31651.48;333;0
2373.08;332;0
12351.17;332;0
9076.79;331;0
12442.51;329;0
10880.72;327;0
64010.04;326;0
6928.98;324;0
4030.96;323;0
3888.39;322;0
6351.03;320;0
11502.83;320;0
4666.07;319;0
2949.28;318;0
;316;0
3240.32;314;0
;314;0
3888.26;314;0
;310;0
13978.15;310;0
3454.19;309;0
9811.96;307;0
2984.21;307;0
;305;0
15274.69;303;0
2407.59;302;0
12673.87;302;0
3758.45;302;0
14724.02;301;0
3841.12;301;0
38656.66;300;0
30329.88;299;0
20210.33;299;0
1068.84;298;0
13136.27;296;0
1944.19;296;0
10226.27;295;0
14480.98;294;0
1296.13;294;0
19992.32;292;0
3421.59;292;0
3451.59;291;0
6548.05;290;0
29331.41;290;0
10411.59;288;0
7930.04;287;0
11282.63;287;0
28087.29;284;0
6027.92;283;0
5229.96;281;0
;280;0
4372.3;279;0
3778.02;276;0
6480.65;275;0
259.23;275;0
;274;0
8684.53;273;0
6305.07;273;0
7.31;272;0
1814.58;272;0
4767.68;270;0
6064.51;269;0
12887.6;268;0
6039.11;268;0
401.8;267;0
6545.91;266;0
10033.07;264;0
7646.84;263;0
2487.51;263;0
;263;0
12171.15;262;0
2882.45;261;0
10788.98;261;0
4885.06;257;0
12752.53;255;0
7998.09;255;0
1296.13;254;0
1763.12;253;0
5832.58;253;0
39009.57;252;0
4018;252;0
9155.86;250;0
41481.28;250;0
3512.51;249;0
3883.37;247;0
14064.95;246;0
4795.68;245;0
2574.11;245;0
7974.51;245;0
12723.27;244;0
1283.17;244;0
6279.46;243;0
7646.84;243;0
14088.91;242;0
36378.19;242;0
3148.6;241;0
30955.1;241;0
15277.65;241;0
4748.63;240;0
4253.9;240;0
7927.22;239;0
3240.32;239;0
8905.84;238;0
2462.65;238;0
6143.65;237;0
19091.99;236;0
155.54;235;0
50374.44;234;0
15456.16;233;0
9327.98;233;0
7095.01;232;0
;232;0
27797.84;231;0
;229;0
11276;228;0
;228;0
7646.84;228;0
4162.2;226;0
259.23;226;0
9182.3;225;0
9735.76;223;0
2224.94;223;0
7264.81;223;0
6837.67;222;0
13713.05;221;0
;221;0
1917.49;218;0
259.23;217;0
17289.07;215;0
3409.27;215;0
5171.56;215;0
6761.39;213;0
7823.44;210;0
;210;0
4431.47;209;0
12312.56;209;0
8436.17;208;0
;208;0
6.48;208;0
14961.55;207;0
12183.62;206;0
5996.37;205;0
4037.9;204;0
4178.07;202;0
1077.08;201;0
23549.2;200;0
2590.96;199;0
4189.74;199;0
3963.56;199;0
;198;0
3337.14;197;0
1407.6;196;0
14304.73;195;0
8156.78;194;0
;193;0
7342.24;192;0
9072.91;191;0
10748.32;191;0
;191;0
9672.33;191;0
37547.03;190;0
2863.84;187;0
5179.35;187;0
;186;0
5063.62;186;0
11026.17;185;0
1423.8;184;0
1631.83;183;0
;181;0
680.13;181;0
12702.07;177;0
9586.17;176;0
4173.54;175;0
2119.17;175;0
2537.82;174;0
;174;0
;174;0
9715.55;174;0
15399.96;172;0
;170;0
3240.32;170;0
3344.9;170;0
3757.8;168;0
14646.29;168;0
;168;0
48205.88;168;0
2487.51;168;0
3883.67;168;0
8375.87;166;0
2443.9;166;0
2727.57;166;0
2487.51;163;0
2224.94;163;0
198307.81;162;0
12961.3;161;0
9944.41;161;0
842.48;161;0
1192.31;161;0
;160;0
3888.39;160;0
;159;0
7694.32;157;0
;157;0
1407.6;156;0
2864.45;156;0
1438.7;155;0
;154;0
4012.83;153;0
2119.17;153;0
155.54;151;0
7646.8;151;0
4152.5;151;0
14005.82;150;0
5832.58;150;0
611.77;150;0
9103.99;150;0
4824.43;149;0
;148;0
5871.47;146;0
1253.9;144;0
9247.88;144;0
5898.5;143;0
259.23;143;0
1859.66;141;0
5239.44;141;0
4826.79;140;0
10033.08;140;0
1490.55;139;0
3451.59;138;0
2669.69;137;0
9332.09;137;0
6966.42;137;0
;136;0
1892.35;136;0
7102.91;136;0
12313.23;134;0
6875.71;134;0
17228.39;134;0
1893.65;133;0
;133;0
;132;0
;131;0
30158.26;131;0
1425.74;130;0
;129;0
13479.75;128;0
7076.87;128;0
5181.55;127;0
3758.45;126;0
18783.33;126;0
5436.65;126;0
;125;0
3240.32;125;0
4199.46;124;0
3240.32;122;0
;122;0
;121;0
3240.32;121;0
;121;0
4390.04;121;0
3270.65;120;0
1283.17;119;0
2894.26;119;0
;119;0
5780.74;118;0
1796.44;118;0
2487.51;117;0
10481.6;117;0
1471.11;117;0
5184.52;117;0
36608.14;117;0
1407.6;117;0
;117;0
;117;0
14685.15;116;0
30544.6;116;0
18837.65;116;0
;115;0
;115;0
